JobID|User|Account|Partition|QOS|Submit|Eligible|Start|End|Elapsed|Planned|State|ExitCode|ReqTRES|AllocTRES|ReqMem|ReqCPUS|ReqNodes|NodeList|Reason
5400014|jvadala|jcombar1-betty-testing|dgx-b200|dgx|2026-04-21T10:00:00|2026-04-21T10:00:00|2026-04-21T10:07:00|2026-04-21T15:07:00|05:00:00|00:07:00|COMPLETED|0:0|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|257500M|28|1|dgx014|None
5400015|alice|labA|dgx-b200|dgx|2026-04-21T14:00:00|2026-04-21T14:00:00|2026-04-21T16:00:00|2026-04-21T20:00:00|04:00:00|02:00:00|TIMEOUT|0:15|billing=3840,cpu=224,gres/gpu=8,mem=2060000M,node=1|billing=3840,cpu=224,gres/gpu=8,mem=2060000M,node=1|2060000M|224|1|dgx016|None
5400016|jvadala|jcombar1-betty-testing|dgx-b200|dgx|2026-04-22T09:00:00|2026-04-22T09:00:00|2026-04-22T09:10:00|2026-04-22T13:10:00|04:00:00|00:10:00|COMPLETED|0:0|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|257500M|28|1|dgx017|None
5400017|bob|labB|dgx-b200|dgx|2026-04-22T11:00:00|2026-04-22T11:00:00|2026-04-22T11:05:00|2026-04-22T15:05:00|04:00:00|00:05:00|COMPLETED|0:0|billing=960,cpu=56,gres/gpu=2,mem=515000M,node=1|billing=960,cpu=56,gres/gpu=2,mem=515000M,node=1|515000M|56|1|dgx018|None
5400018|alice|labA|dgx-b200|dgx|2026-04-23T09:00:00|2026-04-23T09:00:00|2026-04-23T11:00:00|2026-04-23T19:00:00|08:00:00|02:00:00|COMPLETED|0:0|billing=3840,cpu=224,gres/gpu=8,mem=2060000M,node=1|billing=3840,cpu=224,gres/gpu=8,mem=2060000M,node=1|2060000M|224|1|dgx019|None
5400019|jvadala|jcombar1-betty-testing|dgx-b200|dgx|2026-04-23T14:00:00|2026-04-23T14:00:00|2026-04-23T14:45:00|2026-04-23T17:45:00|03:00:00|00:45:00|COMPLETED|0:0|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|257500M|28|1|dgx020|None
5400020|carol|labC|dgx-b200|dgx|2026-04-24T15:00:00|2026-04-24T15:00:00|Unknown|Unknown|00:00:00|UNLIMITED|PENDING|0:0|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|||257500M|28|1|None assigned|Priority
5400101|jvadala|jcombar1-betty-testing|b200-mig45|mig|2026-04-18T09:00:00|2026-04-18T09:00:00|2026-04-18T09:01:00|2026-04-18T11:01:00|02:00:00|00:01:00|COMPLETED|0:0|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|40000M|4|1|dgx-mig45-01|None
5400102|alice|labA|b200-mig45|mig|2026-04-18T12:00:00|2026-04-18T12:00:00|2026-04-18T12:03:00|2026-04-18T13:03:00|01:00:00|00:03:00|COMPLETED|0:0|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|40000M|4|1|dgx-mig45-02|None
5400103|bob|labB|b200-mig45|mig|2026-04-19T10:00:00|2026-04-19T10:00:00|2026-04-19T10:02:00|2026-04-19T12:02:00|02:00:00|00:02:00|COMPLETED|0:0|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|40000M|4|1|dgx-mig45-03|None
5400104|jvadala|jcombar1-betty-testing|b200-mig45|mig|2026-04-19T14:00:00|2026-04-19T14:00:00|2026-04-19T14:01:00|2026-04-19T14:31:00|00:30:00|00:01:00|COMPLETED|0:0|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|40000M|4|1|dgx-mig45-04|None
5400105|carol|labC|b200-mig45|mig|2026-04-20T09:00:00|2026-04-20T09:00:00|2026-04-20T09:05:00|2026-04-20T11:05:00|02:00:00|00:05:00|COMPLETED|0:0|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|40000M|4|1|dgx-mig45-05|None
5400106|alice|labA|b200-mig45|mig|2026-04-20T13:00:00|2026-04-20T13:00:00|2026-04-20T13:10:00|2026-04-20T14:40:00|01:30:00|00:10:00|COMPLETED|0:0|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|40000M|4|1|dgx-mig45-06|None
5400107|jvadala|jcombar1-betty-testing|b200-mig45|mig|2026-04-21T11:00:00|2026-04-21T11:00:00|2026-04-21T11:15:00|2026-04-21T12:15:00|01:00:00|00:15:00|FAILED|127:0|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|40000M|4|1|dgx-mig45-07|None
5400108|bob|labB|b200-mig45|mig|2026-04-22T09:00:00|2026-04-22T09:00:00|2026-04-22T09:02:00|2026-04-22T11:02:00|02:00:00|00:02:00|COMPLETED|0:0|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|40000M|4|1|dgx-mig45-08|None
5400109|carol|labC|b200-mig45|mig|2026-04-22T14:00:00|2026-04-22T14:00:00|2026-04-22T14:08:00|2026-04-22T16:08:00|02:00:00|00:08:00|COMPLETED|0:0|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|40000M|4|1|dgx-mig45-09|None
5400110|alice|labA|b200-mig45|mig|2026-04-23T10:00:00|2026-04-23T10:00:00|2026-04-23T10:06:00|2026-04-23T12:06:00|02:00:00|00:06:00|COMPLETED|0:0|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|40000M|4|1|dgx-mig45-10|None
5400111|jvadala|jcombar1-betty-testing|b200-mig45|mig|2026-04-23T15:00:00|2026-04-23T15:00:00|2026-04-23T15:02:00|2026-04-23T17:02:00|02:00:00|00:02:00|COMPLETED|0:0|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|40000M|4|1|dgx-mig45-11|None
5400112|bob|labB|b200-mig45|mig|2026-04-24T09:00:00|2026-04-24T09:00:00|2026-04-24T09:20:00|2026-04-24T10:20:00|01:00:00|00:20:00|CANCELLED by bob|0:0|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|billing=60,cpu=4,gres/gpu=1,mem=40000M,node=1|40000M|4|1|dgx-mig45-12|None
5400201|jvadala|jcombar1-betty-testing|b200-mig90|mig|2026-04-18T09:00:00|2026-04-18T09:00:00|2026-04-18T09:04:00|2026-04-18T12:04:00|03:00:00|00:04:00|COMPLETED|0:0|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|80000M|8|1|dgx-mig90-01|None
5400202|alice|labA|b200-mig90|mig|2026-04-18T13:00:00|2026-04-18T13:00:00|2026-04-18T13:10:00|2026-04-18T16:10:00|03:00:00|00:10:00|COMPLETED|0:0|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|80000M|8|1|dgx-mig90-02|None
5400203|bob|labB|b200-mig90|mig|2026-04-19T09:00:00|2026-04-19T09:00:00|2026-04-19T09:15:00|2026-04-19T13:15:00|04:00:00|00:15:00|COMPLETED|0:0|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|80000M|8|1|dgx-mig90-03|None
5400204|jvadala|jcombar1-betty-testing|b200-mig90|mig|2026-04-20T10:00:00|2026-04-20T10:00:00|2026-04-20T10:03:00|2026-04-20T13:03:00|03:00:00|00:03:00|COMPLETED|0:0|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|80000M|8|1|dgx-mig90-04|None
5400205|carol|labC|b200-mig90|mig|2026-04-20T14:00:00|2026-04-20T14:00:00|2026-04-20T14:08:00|2026-04-20T17:08:00|03:00:00|00:08:00|COMPLETED|0:0|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|80000M|8|1|dgx-mig90-05|None
5400206|alice|labA|b200-mig90|mig|2026-04-21T11:00:00|2026-04-21T11:00:00|2026-04-21T11:30:00|2026-04-21T15:30:00|04:00:00|00:30:00|COMPLETED|0:0|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|80000M|8|1|dgx-mig90-06|None
5400207|jvadala|jcombar1-betty-testing|b200-mig90|mig|2026-04-22T09:00:00|2026-04-22T09:00:00|2026-04-22T09:12:00|2026-04-22T12:12:00|03:00:00|00:12:00|FAILED|1:0|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|80000M|8|1|dgx-mig90-07|None
5400208|bob|labB|b200-mig90|mig|2026-04-22T14:00:00|2026-04-22T14:00:00|2026-04-22T14:05:00|2026-04-22T17:05:00|03:00:00|00:05:00|COMPLETED|0:0|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|80000M|8|1|dgx-mig90-08|None
5400209|alice|labA|b200-mig90|mig|2026-04-23T10:00:00|2026-04-23T10:00:00|2026-04-23T10:20:00|2026-04-23T14:20:00|04:00:00|00:20:00|COMPLETED|0:0|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|80000M|8|1|dgx-mig90-09|None
5400210|carol|labC|b200-mig90|mig|2026-04-23T15:00:00|2026-04-23T15:00:00|2026-04-23T15:06:00|2026-04-23T18:06:00|03:00:00|00:06:00|FAILED|125:0|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|80000M|8|1|dgx-mig90-10|None
5400211|jvadala|jcombar1-betty-testing|b200-mig90|mig|2026-04-24T14:00:00|2026-04-24T14:00:00|Unknown|Unknown|00:00:00|UNLIMITED|PENDING|0:0|billing=120,cpu=8,gres/gpu=1,mem=80000M,node=1|||80000M|8|1|None assigned|Resources
5400301|jvadala|jcombar1-betty-testing|genoa-std-mem|genoa-std|2026-04-18T08:00:00|2026-04-18T08:00:00|2026-04-18T08:02:00|2026-04-18T10:02:00|02:00:00|00:02:00|COMPLETED|0:0|billing=24,cpu=24,mem=120000M,node=1|billing=24,cpu=24,mem=120000M,node=1|120000M|24|1|genoa001|None
5400302|alice|labA|genoa-std-mem|genoa-std|2026-04-18T11:00:00|2026-04-18T11:00:00|2026-04-18T11:05:00|2026-04-18T15:05:00|04:00:00|00:05:00|COMPLETED|0:0|billing=48,cpu=48,mem=240000M,node=1|billing=48,cpu=48,mem=240000M,node=1|240000M|48|1|genoa002|None
5400303|bob|labB|genoa-std-mem|genoa-std|2026-04-19T09:00:00|2026-04-19T09:00:00|2026-04-19T09:01:00|2026-04-19T10:01:00|01:00:00|00:01:00|COMPLETED|0:0|billing=24,cpu=24,mem=120000M,node=1|billing=24,cpu=24,mem=120000M,node=1|120000M|24|1|genoa003|None
5400304|carol|labC|genoa-std-mem|genoa-std|2026-04-19T14:00:00|2026-04-19T14:00:00|2026-04-19T14:03:00|2026-04-19T18:03:00|04:00:00|00:03:00|COMPLETED|0:0|billing=48,cpu=48,mem=240000M,node=1|billing=48,cpu=48,mem=240000M,node=1|240000M|48|1|genoa004|None
5400305|jvadala|jcombar1-betty-testing|genoa-std-mem|genoa-std|2026-04-20T10:00:00|2026-04-20T10:00:00|2026-04-20T10:02:00|2026-04-20T12:02:00|02:00:00|00:02:00|COMPLETED|0:0|billing=24,cpu=24,mem=120000M,node=1|billing=24,cpu=24,mem=120000M,node=1|120000M|24|1|genoa005|None
5400306|alice|labA|genoa-std-mem|genoa-std|2026-04-21T09:00:00|2026-04-21T09:00:00|2026-04-21T09:10:00|2026-04-21T13:10:00|04:00:00|00:10:00|FAILED|2:0|billing=48,cpu=48,mem=240000M,node=1|billing=48,cpu=48,mem=240000M,node=1|240000M|48|1|genoa006|None
5400307|bob|labB|genoa-std-mem|genoa-std|2026-04-21T13:00:00|2026-04-21T13:00:00|2026-04-21T13:02:00|2026-04-21T14:02:00|01:00:00|00:02:00|COMPLETED|0:0|billing=24,cpu=24,mem=120000M,node=1|billing=24,cpu=24,mem=120000M,node=1|120000M|24|1|genoa007|None
5400308|jvadala|jcombar1-betty-testing|genoa-std-mem|genoa-std|2026-04-22T10:00:00|2026-04-22T10:00:00|2026-04-22T10:01:00|2026-04-22T12:01:00|02:00:00|00:01:00|COMPLETED|0:0|billing=24,cpu=24,mem=120000M,node=1|billing=24,cpu=24,mem=120000M,node=1|120000M|24|1|genoa008|None
5400309|carol|labC|genoa-std-mem|genoa-std|2026-04-23T11:00:00|2026-04-23T11:00:00|2026-04-23T11:04:00|2026-04-23T15:04:00|04:00:00|00:04:00|COMPLETED|0:0|billing=48,cpu=48,mem=240000M,node=1|billing=48,cpu=48,mem=240000M,node=1|240000M|48|1|genoa009|None
5400310|alice|labA|genoa-std-mem|genoa-std|2026-04-24T09:00:00|2026-04-24T09:00:00|2026-04-24T09:02:00|2026-04-24T11:02:00|02:00:00|00:02:00|COMPLETED|0:0|billing=24,cpu=24,mem=120000M,node=1|billing=24,cpu=24,mem=120000M,node=1|120000M|24|1|genoa010|None
